animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding
4,452F031048,F,NA,28-Mar-10,28.5,42.3,1180,moderate
4,452F031048,F,NA,07-Apr-14,31,43.6,1280,moderate
4,452F031048,F,NA,19-Jun-16,31.2,43.8,1330,moderate
5,4531291D17,F,NA,15-Apr-12,29,39.6,1030,moderate
6,4534060B40,F,NA,28-Mar-10,27.5,38.2,860,moderate
6,4534060B40,F,NA,15-Apr-12,30.1,41.6,1500,moderate
12,452F1C300F,F,NA,28-Mar-10,27.1,39.4,890,moderate
12,452F1C300F,F,NA,15-Apr-12,28.4,39,1020,moderate
12,452F1C300F,F,NA,19-Jun-16,29.2,40.1,870,moderate
12,452F1C300F,F,NA,04-Sep-16,29.5,39.6,900,moderate
15,45350A6759,F,NA,28-Mar-10,26.5,36.9,870,moderate
15,45350A6759,F,NA,07-Apr-14,27,37.2,718,moderate
16,452F191B45,F,NA,28-Mar-10,27.4,38.5,830,moderate
16,452F191B45,F,NA,04-Sep-16,28.5,39.0,780,moderate
18,45336B6A6F,F,NA,28-Mar-10,28,39.5,1030,moderate
18,45336B6A6F,F,NA,15-Apr-12,29,40.4,1410,moderate
18,45336B6A6F,F,NA,19-Jun-16,30.6,40.6,965,moderate
18,45336B6A6F,F,NA,04-Sep-16,30.4,40.6,940,moderate
18,45336B6A5F,F,NA,06-Jun-18,30.4,40.4,1040,moderate
18,45336B6A6F,F,NA,06-Jun-19,30.5,40.1,905,moderate
21,4534465A05,F,NA,28-Mar-10,26.1,38,800,moderate
21,4534465A05,F,NA,19-Jun-16,28,38.8,710,moderate
21,4534465A05,F,NA,04-Sep-16,29.2,38.4,770,moderate
23,452E761723,F,NA,15-Apr-12,31.8,23.5/30.3,1732,moderate
23,452E761723,F,NA,19-Jun-16,31.4,23.9/30.5,1250,moderate
23,452E761723,F,NA,04-Sep-16,33.5,23.5/30.3,1220,moderate
24,452E3F3536,F,NA,28-Mar-10,27.9,36.7,910,moderate
24,452E3F3536,F,NA,07-Apr-14,29.5,37.4,900,moderate
24,452E3F3536,F,NA,19-Jun-16,29.2,37.3,950,moderate
26,4534625909,F,NA,06-Apr-06,26,33.8,610,moderate
26,4534625909,F,NA,15-Apr-12,26,33.6,900,moderate
26,4534625909,F,NA,07-Apr-14,25.5,34.1,685,moderate
29,452F19671D,F,NA,28-Mar-10,23.6,36.8,630,moderate
29,452F19671D,F,NA,07-Apr-14,26.4,38,690,moderate
40,4534662250,F,NA,04-Sep-16,30.4,16.3/25.7,875,moderate
42,442B035700,F,NA,15-Apr-12,24.6,28.0/30.1,740,moderate
42,442B035700,F,NA,07-Apr-14,27,29.5/30.7,723,moderate
42,442B035700,F,NA,19-Jun-16,28.5,30.0/31.0,695,moderate
42,442B035700,F,NA,04-Sep-16,28.6,30.0/31.0,730,moderate
45,452F5C406A,F,NA,08-Apr-06,24.9,17/24,440,moderate
46,45340C0C7D,F,NA,16-Apr-12,26.5,37.5,730,moderate
50,452F5D241E,F,NA,08-Apr-06,28.5,38.6,670,moderate
51,452F1B6D08,F,NA,08-Apr-06,27,36.1,670,moderate
51,452F1B6D08,F,NA,19-Jun-16,26.5,36.7,650,moderate
53,4A0E4E4115,F,NA,15-Apr-12,26.9,36.6,820,moderate
53,4A0E4E4115,F,NA,07-Apr-14,27,38,690,moderate
63,4A7A4B4650,F,NA,23-Mar-08,26,24.4/28.7,770,moderate
67,4A0D50465B,F,NA,23-Mar-08,25.8,37.1,720,moderate
79,4A0E52507F,F,NA,15-Apr-12,29.3,26.0/30.8,1360,moderate
79,4A0E52507F,F,NA,07-Apr-14,30.1,27.5/32.1,1035,moderate
79,4A0E52507F,F,NA,19-Jun-16,31,27.6/32.2,890,moderate
79,4A0E52507F,F,NA,04-Sep-16,30.6,27.3/32.1,985,moderate
85,4B21265F74,F,NA,15-Apr-12,27.2,38.2,860,moderate
